month,little_italy,mercier,ndg,griffintown,le_plateau,ahuntsic,villeray,rosemont,lachine,le_sud_ouest,pointe_saint_charles,lasalle,new_rosemont,old_rosemont,rivière_des_prairies,dorval,montreal_nord,verdun,ville_marie,cdn,la_petite_patrie
2018-09-01,375500,268000,375000,348500,377942,268750,185000,430000,244000,350000,411500,272250,201000,248000,189000,234000,203000,493000,390000,367000,312419
2018-10-01,375575,241000,367500,355000,361000,242750,218000,352500,259423,340500,335000,280700,227000,252450,203500,272400,246000,340739,394000,360500,371105
2018-11-01,435625,247000,480000,333750,403000,250000,210000,445000,254500,265450,370000,284000,276444,269950,177500,247500,194000,335000,393000,360000,284000
2018-12-01,380000,298750,348500,375000,395000,242500,245000,416500,275000,284500,349000,321500,252000,283950,190000,244500,274000,342000,365500,360000,369000
2019-01-01,442500,260750,417500,368250,416000,255000,257000,316438,226000,265000,296800,252000,271000,320000,182500,234550,192000,299000,411000,450000,358000
2019-02-01,390864,271250,342000,372000,442750,275000,194000,385000,238000,300000,307500,257000,265000,328000,190000,304500,238250,358750,379000,420000,424250
2019-03-01,370500,259000,453000,360000,424000,253000,237250,380500,290000,274500,347000,286881,300000,271000,182000,242500,212000,339000,385000,358750,397500
2019-04-01,351000,275500,474000,350000,440000,254000,208000,378700,255000,316000,345250,320000,269000,295000,192000,275000,231000,380000,400000,355000,391500
2019-05-01,695000,299000,356000,390000,420000,269500,223500,337250,287250,330000,417500,299000,110000,261950,190000,358000,242500,350500,426000,386500,440000
2019-06-01,430000,293250,385000,410000,410500,243850,215000,371250,290950,307500,465000,299000,277000,308760,196000,225000,200000,299000,402000,292000,341250
2019-07-01,522413,301000,378000,350500,434875,276000,207000,375250,296325,202500,393500,353000,258800,340000,222000,225000,225000,337450,397500,293500,440000
2019-08-01,750000,282500,400000,402000,400000,273500,287750,385000,292950,316000,412000,293000,346500,322800,192000,318125,194000,337000,406500,360000,310000
2019-09-01,372500,350500,450000,372000,495000,263500,236000,355000,290000,295000,405000,329000,282000,379000,216500,269000,241500,342500,443998,410000,417500
2019-10-01,445000,302000,437000,375000,486000,310000,184500,483500,269000,399900,350000,335000,357500,345900,213950,265750,240000,313500,440000,348500,430000
2019-11-01,364000,310000,449050,427500,460000,296000,252000,405000,287000,316000,407000,345500,283000,331500,220000,272000,230000,329500,423853,367500,441000
2019-12-01,335000,335000,466500,364000,495000,258750,282000,450000,290500,353500,440000,321000,296000,330000,202500,263000,228500,369500,430000,440000,465000
2020-01-01,326000,283500,369000,575000,467000,283000,297000,385000,296250,329250,391450,325500,333000,284000,226500,232000,241500,375000,430000,361600,440000
2020-02-01,510000,381900,420000,407500,495000,290000,242000,491750,290000,386858,455000,370000,205000,347500,199950,330233,230500,411000,464000,409000,421000
2020-03-01,520500,375000,410000,417000,487500,310000,249000,520000,303500,373000,397000,395500,348500,380000,207450,272000,237000,392217,462000,394000,487000
2020-04-01,382500,369000,610000,412500,447500,247500,249000,383000,362000,357000,487500,345000,260000,275000,211500,515000,254000,445000,478500,435000,415445
2020-05-01,435000,345500,678500,407500,479000,329000,289750,335000,296250,339000,477000,400000,219000,350000,235000,296750,224500,400500,430000,374000,433500
2020-06-01,462500,358500,418500,410000,450000,338200,263000,495000,304000,359000,486000,365000,312500,377152,215000,282500,213000,455000,431750,350000,449000
